confidence,learningspeed,totaltrials,propcorr
7,0.609347442680776,443,0.0115315881187416
6.5,0.769753086419753,373,0.0120313305723865
7.5,0.613168724279835,376,0.0449186630323133
4.5,0.534979423868313,452,0.0058137172930766
7,0.644824311490978,374,0.0199589286121565
4,0.584362139917695,404,0.031331369889419
7,0.632275132275132,417,0.0185874654139091
5,0.599326599326599,357,0.0297604152516319
6,0.653371320037987,365,0.0596514510254309
5,0.520576131687243,466,0.0442362996480644
7.5,0.633428300094967,386,0.0280784548153058
7.5,0.661265432098765,439,0.00977047719594595
7,0.674897119341564,395,0.0182383026735915
4,0.593542260208927,428,0.0199348302916235
7,0.702160493827161,386,0.0122556480948867
6,0.538720538720539,411,0.0268642023737132
7,0.640329218106996,437,0.00611939770673652
8,0.722222222222222,360,0.0330827438126258
6.5,0.683127572016461,308,0.0946470162407151
7.5,0.73015873015873,306,0.0188713293790035
4,0.652263374485597,338,0.0317837121929016
5,0.705603038936372,310,0.0388471866647228
7.5,0.62962962962963,390,0.0166103749609806
6,0.593621399176955,395,0.0242242192461681
6,0.653371320037987,365,0.0205800417680649
8,0.699845679012346,389,0.0120791497478027
8,0.686067019400353,356,0.0648315052078851
8,0.644824311490978,374,0.0236060236060236
7,0.662551440329218,410,0.011289105199492
8,0.733024691358025,346,0.023075629872752
5,0.616255144032922,373,0.0216119786392717
