L_8s,L_4s
54,19
22,8
23,34
34,20
26,22
30,13
27,31
40,26
8,8
16,50
10,27
17,9
16,16
22,14
13,12
20,14
19,24
19,14
29,26
41,30
21,22
30,14
15,15
11,9
51,24
16,18
26,47
15,31
29,16
46,16
23,18
28,21
37,11
19,23
9,8
18,25
21,37
76,32
38,39
23,15
36,20
12,35
15,24
41,9
27,31
40,19
9,8
26,19
23,20
23,28
26,33
27,21
33,16
9,9
15,44
25,19
18,48
23,45
53,11
14,47
15,32
29,18
58,39
22,17
79,26
20,29
34,23
26,23
10,10
39,25
63,9
9,31
30,33
18,28
25,11
28,19
15,16
14,10
20,18
9,28
28,14
33,53
46,25
49,34
16,22
29,12
14,9
33,10
11,27
16,13
16,18
22,8
36,10
18,34
59,26
12,9
26,12
51,54
27,8
18,16
26,19
55,10
26,10
23,13
37,12
27,14
24,17
17,19
23,31
28,22
63,45
24,17
39,41
9,11
21,22
50,21
61,21
28,18
20,23
12,9
57,80
25,14
20,14
42,25
10,10
37,80
31,50
38,17
22,38
38,31
23,13
22,26
17,16
45,10
26,46
68,30
8,9
25,27
57,26
69,20
20,11
26,12
41,23
10,22
16,38
34,9
56,17
28,15
31,13
11,36
38,17
23,16
25,16
39,24
25,42
26,25
19,16
18,22
10,11
44,22
18,26
26,9
30,14
23,45
16,17
31,34
37,32
47,17
13,39
10,8
37,53
14,31
58,40
23,32
28,43
38,22
14,36
13,9
27,20
20,30
19,20
32,44
27,12
71,12
24,25
35,11
26,13
50,34
10,22
15,44
9,10
29,31
46,25
11,28
50,16
32,37
72,11
28,46
18,15
31,56
78,33
34,24
29,24
9,11
17,18
18,22
70,14
42,80
21,18
16,21
35,35
48,13
22,23
23,16
28,9
57,47
80,32
52,20
34,16
57,55
24,12
21,16
39,17
34,19
15,27
35,19
9,20
13,25
32,20
23,25
24,23
80,13
30,72
8,8
34,18
9,17
16,13
31,53
41,30
14,11
15,14
45,24
27,13
40,17
27,19
22,29
64,46
28,14
11,10
40,23
70,29
59,69
25,17
31,29
45,18
72,32
53,25
20,80
30,13
9,8
25,43
36,15
64,20
38,46
33,17
31,18
37,41
25,15
27,10
19,16
31,30
9,8
20,37
24,29
23,17
31,42
33,28
68,50
8,9
16,12
26,17
35,11
45,18
32,29
36,19
17,14
37,25
31,14
43,16
53,29
80,28
36,23
31,17
9,11
18,21
20,38
24,11
19,14
39,24
10,10
74,32
25,27
34,21
13,13
10,10
36,21
21,14
37,21
25,14
30,13
33,17
12,31
24,27
32,32
34,23
15,14
9,9
26,11
25,28
62,27
11,12
14,30
23,15
10,8
48,12
12,11
34,15
36,13
45,25
14,9
38,10
37,26
52,49
27,30
41,17
36,23
19,28
18,15
9,9
30,24
58,21
37,21
42,17
33,32
11,9
80,50
26,15
21,25
18,22
9,9
16,25
80,18
40,28
31,17
36,17
35,14
11,12
10,69
9,24
32,13
34,21
9,27
17,29
60,34
67,31
27,30
38,33
63,15
10,9
31,12
11,20
37,29
65,58
21,25
37,12
35,31
15,23
42,17
16,19
25,34
35,37
19,14
37,42
9,9
20,18
19,17
58,20
29,22
26,34
73,23
33,23
26,14
78,38
67,22
9,9
34,42
11,9
35,16
25,16
15,15
16,30
34,12
51,19
29,39
30,21
18,23
8,20
36,13
27,19
23,20
28,20
12,11
39,21
23,8
14,18
11,24
29,32
25,30
11,11
31,11
74,14
43,16
49,57
43,20
28,18
21,21
30,34
14,12
10,10
40,35
42,26
57,31
15,14
24,18
11,14
49,20
25,12
21,31
33,12
29,10
32,31
11,27
35,31
23,14
20,13
33,18
20,50
33,12
39,23
17,20
78,42
8,33
19,49
67,36
22,31
10,18
58,11
52,15
10,10
16,12
23,11
38,31
27,16
34,23
12,13
44,9
23,10
23,24
30,23
28,30
26,20
37,22
25,48
8,11
21,30
17,19
23,37
34,17
23,19
21,16
27,17
15,23
24,21
20,13
37,9
32,21
11,21
17,29
32,14
18,21
23,33
33,32
43,27
9,29
66,14
47,25
8,22
53,11
41,20
35,19
27,11
15,11
24,16
8,8
75,40
11,22
20,10
29,33
45,11
30,11
43,10
25,15
37,24
23,39
30,30
21,23
19,14
60,15
11,8
80,32
27,12
32,10
23,28
25,21
12,20
44,24
43,41
61,12
12,28
10,31
37,17
15,18
29,17
38,17
16,19
37,15
13,9
34,14
11,18
36,25
15,23
32,9
24,24
48,44
40,30
13,14
33,29
60,15
23,8
16,17
47,44
54,19
25,14
57,14
29,12
26,17
21,13
48,41
29,37
29,26
28,22
37,38
18,29
11,10
21,36
16,9
34,27
57,14
61,32
12,11
51,28
36,14
64,41
18,16
62,25
16,24
50,60
49,24
59,33
41,19
35,13
13,23
52,34
54,27
44,12
28,40
9,8
54,24
25,21
31,29
37,20
35,11
22,20
10,10
15,16
9,18
18,45
32,21
42,26
10,26
41,14
22,20
51,30
16,22
66,30
48,32
73,24
17,14
8,10
21,11
20,24
39,29
25,23
37,29
76,31
36,43
38,15
36,19
27,27
10,8
14,52
20,11
46,25
24,23
22,30
62,33
10,22
22,32
9,12
19,26
17,19
26,38
35,12
51,18
42,30
22,13
14,24
73,69
8,22
16,14
12,9
19,13
38,17
14,13
37,24
21,35
16,12
18,31
24,18
33,26
17,28
16,24
65,21
9,8
41,24
25,9
36,20
30,28
35,28
17,15
55,42
17,23
33,13
31,12
25,31
17,26
12,22
19,25
25,33
15,23
25,35
25,12
12,64
9,18
45,32
46,22
40,9
32,35
25,18
56,20
41,11
19,12
25,37
8,10
15,13
9,11
33,12
27,44
11,12
12,31
12,17
14,13
31,29
17,51
45,21
25,36
37,16
17,37
9,8
80,25
21,23
50,20
18,15
22,61
36,31
38,61
25,18
30,13
25,28
9,9
40,19
14,41
51,19
23,22
18,17
36,42
27,36
32,18
22,39
22,37
21,29
23,9
33,21
73,21
47,38
25,14
25,23
55,18
9,8
36,44
55,12
17,14
10,35
23,14
12,12
15,29
22,16
42,39
39,13
37,26
78,21
17,35
41,30
10,9
24,30
24,19
27,9
16,33
34,19
18,47
26,30
39,26
24,21
20,32
49,8
31,14
14,11
26,34
37,24
35,12
22,12
37,16
43,12
11,11
30,31
29,21
9,20
36,21
55,12
45,32
17,38
50,20
60,20
9,9
33,12
11,11
75,35
20,14
27,55
36,23
15,43
15,21
24,32
14,13
53,64
45,26
29,21
27,20
9,11
80,23
19,16
25,18
15,13
27,17
25,12
25,24
32,12
60,55
43,12
39,30
17,11
31,23
17,22
22,40
21,12
31,57
19,19
23,14
71,11
18,36
49,20
26,8
32,12
19,19
39,54
33,20
25,31
32,22
8,8
30,74
42,35
18,22
26,28
20,32
19,37
32,16
21,13
24,15
20,16
39,32
37,21
32,25
17,12
8,9
38,25
16,17
37,19
15,24
49,34
26,20
25,35
16,15
80,16
20,16
8,9
37,38
24,9
15,25
34,25
19,15
33,20
22,14
13,25
26,31
54,12
41,16
33,20
30,25
49,20
22,18
30,18
36,21
24,15
10,10
17,18
25,9
31,17
38,23
23,22
13,58
16,15
28,20
28,26
44,40
39,19
23,33
32,22
17,19
9,10
37,13
16,37
28,23
17,16
32,17
15,30
24,17
16,40
64,45
18,14
9,10
18,15
10,16
68,29
57,43
18,19
36,27
32,39
16,18
28,18
15,13
29,23
22,20
49,16
49,20
28,31
12,27
12,28
23,36
10,39
50,16
12,11
15,31
15,14
28,25
12,14
37,40
13,16
20,44
24,18
26,28
48,16
35,15
27,13
10,11
22,36
24,19
25,26
15,14
32,24
12,43
45,29
40,17
43,13
14,23
9,10
19,40
57,10
48,30
36,23
35,18
58,29
41,34
20,15
36,19
17,39
28,27
8,39
64,10
40,49
42,62
22,23
12,25
24,22
8,8
35,25
26,17
17,31
31,16
21,23
9,14
17,15
13,10
24,28
18,15
27,19
34,15
41,22
66,29
10,8
23,21
39,26
60,35
15,17
61,30
14,9
24,80
18,34
36,36
18,10
9,10
33,14
35,30
19,26
46,16
55,13
28,24
46,40
49,17
9,11
25,11
75,33
9,20
18,19
21,28
25,19
32,37
20,21
33,31
9,10
42,12
36,34
28,19
63,20
33,43
14,33
36,16
29,10
53,26
15,34
16,53
21,25
40,37
16,13
11,11
32,12
17,27
34,39
25,14
28,35
38,19
40,23
14,20
18,21
29,29
8,10
19,26
12,17
29,16
23,22
21,34
64,26
12,35
18,46
12,22
23,15
36,34
8,29
25,16
23,18
25,32
44,15
18,38
31,22
44,9
21,14
11,11
15,10
28,15
29,14
10,12
38,31
27,12
20,15
16,17
25,33
27,21
37,16
18,13
11,11
45,24
31,10
25,16
31,14
20,19
25,19
34,22
44,20
23,19
14,28
9,9
37,25
51,29
16,38
46,32
59,25
42,14
53,12
27,17
9,52
16,27
32,15
8,21
18,22
58,63
22,35
72,12
24,35
30,23
9,8
36,30
25,11
22,31
30,18
46,40
11,12
31,14
30,25
46,18
34,24
32,32
21,15
36,15
54,26
10,8
19,19
24,12
37,36
32,17
32,16
23,19
23,42
35,16
37,32
48,10
10,8
33,13
17,11
16,31
22,14
35,58
34,13
20,20
13,12
11,10
16,13
36,18
50,21
21,12
60,24
42,39
21,35
33,15
42,18
23,40
16,20
80,32
41,16
36,28
41,11
13,14
32,15
22,21
31,49
17,36
27,32
35,33
37,41
69,18
8,10
25,14
19,24
33,23
42,29
26,19
23,18
24,39
52,15
27,10
29,28
8,10
36,21
12,9
36,80
25,17
21,14
31,29
28,33
18,18
30,18
27,29
19,26
31,9
71,12
33,36
59,28
35,20
19,12
32,39
10,8
48,41
24,39
31,22
27,31
20,50
12,36
34,17
23,27
20,44
36,14
45,23
30,30
52,41
46,13
11,10
49,26
16,38
36,34
14,13
52,17
39,69
80,79
26,34
51,31
19,17
8,10
45,14
11,9
28,46
37,16
38,17
42,14
30,26
14,14
45,10
15,14
29,32
44,9
35,36
80,24
37,22
45,10
13,30
38,19
9,8
15,15
26,10
18,33
48,30
21,12
36,14
17,16
26,10
18,14
40,21
30,27
36,15
52,47
18,44
11,10
17,13
39,10
24,21
34,16
26,16
12,16
27,41
15,13
30,22
29,27
9,9
18,25
21,12
58,43
25,16
45,23
55,43
26,18
33,31
35,11
19,13
22,20
8,21
31,25
29,20
29,18
26,29
12,11
48,16
10,10
18,14
51,12
21,18
58,33
38,12
11,28
26,28
20,32
21,16
51,36
27,19
38,34
33,16
23,17
9,8
17,19
41,38
24,32
25,15
39,28
24,21
35,17
16,20
29,29
30,10
10,9
32,18
31,9
29,45
43,22
25,16
29,35
19,22
57,24
9,11
15,14
20,33
49,8
17,13
18,33
22,18
38,38
20,11
33,37
8,10
14,13
32,11
17,17
36,13
21,12
11,39
15,11
30,10
20,16
17,14
26,36
42,26
77,34
24,43
9,8
23,22
19,12
37,11
17,16
39,50
16,25
34,23
34,20
16,27
14,31
8,10
16,23
14,11
28,18
22,15
35,18
29,37
20,25
15,12
35,9
18,64
58,13
8,8
17,21
20,18
35,29
41,11
20,14
42,45
8,9
34,18
28,26
21,39
27,17
23,20
15,10
41,11
37,22
25,31
52,31
30,22
21,16
47,16
62,38
10,9
30,27
16,22
35,53
24,16
52,16
39,12
26,35
23,12
50,39
29,18
8,9
20,14
32,17
30,21
23,22
20,19
20,16
32,12
18,17
40,28
37,46
27,15
62,9
18,31
41,32
29,29
20,9
15,12
53,22
36,22
17,14
9,23
53,23
69,15
23,14
13,35
17,33
23,13
31,29
67,15
32,32
70,21
23,18
35,19
11,8
30,11
25,27
39,24
22,13
34,80
10,19
22,30
38,17
38,29
17,49
10,22
50,54
17,11
49,80
23,16
18,15
22,49
34,9
25,16
9,10
57,13
18,39
8,39
36,39
18,18
24,29
12,48
18,29
22,21
10,35
30,12
11,10
31,20
15,36
21,23
14,36
35,38
20,44
65,21
17,28
31,21
36,15
56,25
25,34
10,8
26,28
17,25
80,34
28,15
37,18
18,10
46,19
24,29
24,33
20,64
9,8
30,25
11,11
49,29
25,17
25,30
14,38
38,23
12,12
27,50
20,13
34,58
8,27
49,27
23,34
43,27
21,19
38,12
35,23
8,10
61,27
11,40
16,12
28,35
22,20
12,14
14,16
22,25
19,16
74,30
29,48
23,29
64,26
39,12
8,9
21,24
25,25
42,25
16,25
33,68
9,24
22,29
16,19
40,12
21,31
10,10
26,75
16,13
52,19
22,35
28,22
15,14
21,21
17,14
28,9
20,12
20,16
23,23
17,32
20,36
27,24
41,10
31,20
35,22
8,8
31,16
47,19
17,22
44,32
23,20
9,11
16,12
21,19
37,28
22,15
51,19
38,26
17,26
16,34
9,11
61,34
19,34
54,19
18,13
30,28
10,19
55,52
14,18
44,58
30,28
10,10
37,26
10,14
53,20
24,33
22,13
62,60
21,27
22,26
53,27
22,12
18,15
23,9
17,32
46,31
25,34
23,27
25,14
31,17
8,9
26,15
12,17
14,21
27,12
22,14
31,11
31,27
19,23
64,19
19,23
34,18
22,14
31,24
28,19
11,10
54,21
42,11
48,49
48,15
33,45
23,26
53,36
22,22
22,22
14,22
8,8
34,28
38,17
39,10
23,32
16,15
17,47
14,16
38,67
27,20
27,21
32,37
9,41
22,34
45,42
42,26
10,27
31,24
50,80
46,9
17,36
28,9
47,31
38,25
21,33
10,10
14,48
15,10
25,75
36,13
26,20
44,17
35,33
42,19
9,11
35,23
19,11
80,26
17,15
21,34
16,30
52,23
21,14
37,54
19,45
45,8
40,14
80,15
19,19
15,25
30,31
25,39
40,32
42,16
80,24
18,46
28,17
9,20
20,10
20,48
22,17
29,28
24,13
17,25
42,8
28,27
19,11
34,13
22,30
48,13
31,12
16,12
26,18
41,31
16,32
20,21
46,19
49,80
15,16
11,10
39,31
25,17
39,20
29,31
52,32
25,16
37,15
43,15
36,25
32,21
8,9
14,15
12,39
26,31
25,15
17,36
31,20
20,16
32,17
20,21
80,13
56,17
38,9
20,34
44,80
27,26
11,17
14,22
80,24
8,27
16,46
11,11
22,16
35,15
33,20
10,11
17,17
17,24
20,30
23,23
28,19
73,59
21,23
30,12
11,10
30,24
41,24
22,17
32,27
27,19
21,22
33,21
57,37
40,21
19,39
9,9
38,46
12,19
30,10
36,22
21,21
80,33
10,12
12,16
21,28
26,23
28,46
27,46
30,13
44,19
28,35
34,15
19,40
22,61
8,9
51,25
9,20
29,10
20,14
21,25
32,33
15,31
15,12
40,33
52,16
19,39
26,16
40,46
16,13
11,8
18,17
21,17
25,19
15,40
31,23
21,19
80,36
32,12
34,35
35,15
10,9
35,15
59,21
31,28
32,14
32,14
24,30
41,27
13,18
26,9
21,14
59,13
22,8
45,22
47,19
31,21
22,26
12,19
34,25
23,10
25,15
10,12
17,17
32,11
23,26
14,49
20,9
27,65
41,13
15,20
30,44
51,17
30,25
16,26
11,9
25,30
45,24
53,29
16,22
20,51
10,45
32,42
13,20
19,18
34,15
9,8
76,30
13,17
44,10
24,14
17,47
16,28
64,26
41,15
9,9
18,26
33,26
8,21
65,21
28,33
44,20
13,11
15,30
55,19
9,29
15,15
12,10
32,20
27,25
40,12
11,11
15,14
20,39
32,33
20,26
26,17
22,14
80,62
25,38
11,10
80,30
19,36
42,24
23,24
22,24
23,43
27,66
15,13
36,24
20,20
8,8
28,44
37,15
14,10
40,23
15,23
17,13
54,22
19,15
11,9
39,12
25,13
23,9
24,10
21,15
55,22
12,31
35,25
34,23
9,28
49,25
26,12
17,16
37,35
29,43
13,16
56,10
19,13
32,45
31,15
27,21
25,22
27,33
29,19
10,9
19,42
18,22
24,32
60,20
25,20
20,41
61,28
37,21
23,80
19,10
9,9
39,24
33,22
30,28
22,31
42,17
28,69
36,9
13,46
27,19
18,21
17,15
68,45
30,34
18,18
34,20
37,25
37,21
25,21
8,8
15,14
12,54
36,12
26,14
22,30
29,48
14,11
58,25
34,30
25,37
43,18
23,14
19,22
26,49
11,8
44,11
65,12
24,39
38,14
18,22
22,11
59,61
25,20
43,25
21,20
10,55
32,14
13,24
21,26
33,17
35,12
13,16
12,15
16,24
26,40
38,30
33,38
33,30
26,10
61,27
24,32
22,20
24,12
32,17
23,10
34,63
18,26
17,31
32,33
33,46
14,30
32,12
23,42
32,34
37,27
53,19
22,53
18,24
34,14
10,9
24,11
29,11
80,47
15,14
34,24
10,11
51,56
25,13
34,48
38,43
25,31
38,14
41,18
52,22
38,22
18,21
27,24
11,18
12,18
28,41
18,31
52,18
8,20
38,27
21,23
23,21
40,23
14,11
35,40
10,10
28,15
29,33
34,28
52,31
11,22
13,24
16,47
22,22
43,25
51,41
25,25
20,80
35,37
27,17
10,9
32,26
39,28
36,21
52,57
22,16
21,12
43,35
51,34
25,19
25,16
50,26
24,17
20,21
51,19
41,17
52,22
21,26
19,39
25,24
11,19
15,22
43,23
8,21
18,17
28,45
80,29
12,37
26,13
51,39
9,8
40,12
12,43
36,20
27,14
58,42
26,13
52,28
25,24
19,14
19,21
51,31
17,34
34,37
30,20
11,9
52,40
17,17
68,71
34,13
24,34
11,10
32,30
17,15
60,18
29,24
8,43
30,46
23,26
50,24
23,15
23,30
35,35
35,12
12,10
21,27
17,20
31,69
8,9
22,12
44,26
42,29
28,17
26,30
32,49
9,10
31,34
44,18
14,11
49,19
11,37
36,11
35,31
26,14
31,20
24,13
