p8s,p4s
0.0125,0.003
0.011,0.005
0.012,0.0045
0.0105,0.003
0.0125,0.0015
0.0135,0.0045
0.0125,0.006
0.0135,0.0055
0.0085,0.0075
0.0105,0.006
0.0145,0.0055
0.013,0.0045
0.0105,0.0025
0.0155,0.0035
0.0165,0.0035
0.0155,0.003
0.007,0.004
0.012,0.0035
0.0135,0.003
0.013,0.0025
0.0145,0.0025
0.0155,0.0045
0.014,0.0025
0.0115,0.0035
0.0155,0.0055
0.017,0.0065
0.0135,0.0065
0.018,0.0055
0.0105,0.004
0.0185,0.004
0.0175,0.0035
0.014,0.008
0.0135,0.005
0.0135,0.0035
0.013,0.0045
0.013,0.003
0.0155,0.004
0.0165,0.007
0.012,0.0055
0.0185,0.005
0.017,0.006
0.014,0.004
0.0165,0.0035
0.014,0.0035
0.015,0.0065
