fpT_vmpfc,apT_vmpfc,fpT_hpc,apT_hpc
4.01,1.27,2.58,2.23
2.58,1.81,2.84,3.14
2.53,2.4,2.16,1.98
0.55,5.61,2.29,2.36
0.91,3.1,2.09,2.55
3.86,2.64,1.95,2.84
1.74,3.07,3.47,4.82
2.51,2.49,2.86,2.52
2.03,1.4,1.94,2.14
3.88,1.48,2.3,2.72
1.98,2.3,2.26,2
2.88,4.25,3.23,3.11
2.48,2.22,2.84,3.07
1.81,4.03,3.5,3.07
1.95,3.23,2.37,1.6
1.77,1.68,2.12,2.33
4.26,1.73,4.64,2.37
1.36,4.77,1.58,3.88
2.02,3.43,3.08,1.86
1.91,4.21,2.49,3.16
2.86,1.94,2.44,2.86
1.65,3.2,2.32,2.27
1.37,3.39,2.91,2.93
0.24,6.43,3.02,4.59
2.63,2.78,2.45,2.22
2.84,2.78,2.41,2.5
1.59,5.04,1.98,2.56
2.58,2.61,3.48,1.86
3.75,5.99,2.21,3.44
1.95,4.08,3.19,3.48
1.87,4.49,3.27,2.98
3.89,1.34,3.4,2.91
1.67,2.97,2.66,3.01
