pmsl,pmsr,pmsi
0.571428571428571,0.75,0.625
0.6,0.625,0.5
0.333333333333333,0.75,0.375
0.333333333333333,0.75,0.5
0.5,0.75,0.375
0.333333333333333,0.875,0.625
0.428571428571429,0.625,0.375
0.833333333333333,0.625,0.5
0.857142857142857,0.75,0.375
0.5,0.75,0.5
0.666666666666667,0.625,0.5
0.5,0.75,0.5
0.714285714285714,0.625,0.375
0.5,0.5,0.5
0.625,0.75,0.5
0.285714285714286,0.75,0.5
0.875,0.625,0.625
0.571428571428571,0.75,0.625
0.5,0.75,0.5
0.333333333333333,0.75,0.5
0.875,0.75,0.625
0.571428571428571,0.5,0.25
