color1,size1,ori1,dir_mouth1,RealClass,DisplayClass1,DisplayClass2,correct,value1,value2,conf_report,block_type,block
1,1,0,1,2,2,1,left,1,0,0,CD,1
0,1,0,1,1,1,2,left,1,0,0,CD,1
1,1,1,0,1,1,2,left,1,0,0,CD,1
0,1,1,0,2,1,2,right,0,1,0,CD,1
1,1,0,1,2,1,2,right,0,1,0,CD,1
1,1,0,0,1,2,1,right,0,1,0,CD,1
1,1,0,1,2,2,1,left,1,0,0,CD,1
1,1,1,0,1,2,1,right,0,1,0,CD,1
0,1,1,1,1,1,2,left,1,0,0,CD,1
0,1,0,0,2,2,1,left,1,0,0,CD,1
1,1,1,1,2,2,1,left,1,0,0,CD,1
1,1,0,1,2,2,1,left,1,0,0,CD,1
1,1,1,1,2,1,2,right,0,1,0,CD,1
1,1,1,0,1,1,2,left,1,0,0,CD,1
1,1,0,0,1,2,1,right,0,1,0,CD,1
1,1,1,1,2,2,1,left,1,0,0,CD,1
0,1,1,1,1,1,2,left,1,0,0,CD,1
1,1,0,0,1,1,2,left,1,0,0,CD,1
0,1,1,0,2,1,2,right,0,1,0,CD,1
1,1,0,0,1,2,1,right,0,1,0,CD,1
