color1,size1,ori1,dir_mouth1,RealClass,DisplayClass1,DisplayClass2,correct,value1,value2,conf_report,block_type,assoc_type,block
1,1,0,0,2,1,2,y,0,1,0,CO,0,1
1,1,0,1,2,2,1,b,1,0,0,CO,0,1
0,1,1,1,2,2,1,b,1,0,0,CO,0,1
1,1,1,1,1,2,1,y,0,1,0,CO,0,1
1,1,0,0,2,2,1,b,1,0,0,CO,0,1
1,1,0,1,2,2,1,b,1,0,0,CO,0,1
1,1,1,1,1,1,2,b,1,0,0,CO,0,1
1,1,0,1,2,2,1,b,1,0,0,CO,0,1
0,1,0,0,1,2,1,y,0,1,0,CO,0,1
1,1,1,1,1,2,1,y,0,1,0,CO,0,1
1,1,0,1,2,2,1,b,1,0,0,CO,0,1
0,1,1,1,2,1,2,y,0,1,0,CO,0,1
0,1,1,1,2,1,2,y,0,1,0,CO,0,1
0,1,0,1,1,2,1,y,0,1,0,CO,0,1
0,1,1,0,2,2,1,b,1,0,0,CO,0,1
1,1,1,1,1,2,1,y,0,1,0,CO,0,1
0,1,1,0,2,1,2,y,0,1,0,CO,0,1
1,1,1,1,1,2,1,y,0,1,0,CO,0,1
0,1,1,1,2,1,2,y,0,1,0,CO,0,1
0,1,1,1,2,1,2,y,0,1,0,CO,0,1
0,1,1,0,2,2,1,b,1,0,0,CO,0,1
0,1,0,0,1,2,1,y,0,1,0,CO,0,1
1,1,1,0,1,2,1,y,0,1,0,CO,0,1
0,1,1,1,2,2,1,b,1,0,0,CO,0,1
0,1,0,1,1,2,1,y,0,1,0,CO,0,1
0,1,0,0,1,2,1,y,0,1,0,CO,0,1
1,1,1,0,1,2,1,y,0,1,0,CO,0,1
1,1,0,1,2,2,1,b,1,0,0,CO,0,1
0,1,1,0,2,2,1,b,1,0,0,CO,0,1
0,1,1,0,2,2,1,b,1,0,0,CO,0,1
1,1,1,1,1,2,1,y,0,1,0,CO,0,1
0,1,1,0,2,1,2,y,0,1,0,CO,0,1
1,1,0,0,2,2,1,b,1,0,0,CO,0,1
0,1,1,1,2,1,2,y,0,1,0,CO,0,1
0,1,0,1,1,2,1,y,0,1,0,CO,0,1
1,1,1,0,1,1,2,b,1,0,0,CO,0,1
0,1,1,0,2,2,1,b,1,0,0,CO,0,1
0,1,0,0,1,1,2,b,1,0,0,CO,0,1
0,1,0,0,1,1,2,b,1,0,0,CO,0,1
1,1,0,1,2,1,2,y,0,1,0,CO,0,1
0,1,0,1,1,2,1,y,0,1,0,CO,0,1
1,1,0,0,2,2,1,b,1,0,0,CO,0,1
0,1,1,0,2,2,1,b,1,0,0,CO,0,1
1,1,1,0,1,2,1,y,0,1,0,CO,0,1
0,1,1,1,2,1,2,y,0,1,0,CO,0,1
1,1,0,1,2,2,1,b,1,0,0,CO,0,1
0,1,0,0,1,2,1,y,0,1,0,CO,0,1
1,1,0,1,2,1,2,y,0,1,0,CO,0,1
1,1,1,0,1,2,1,y,0,1,0,CO,0,1
1,1,1,0,1,2,1,y,0,1,0,CO,0,1
0,1,1,0,2,2,1,b,1,0,0,CO,0,1
1,1,1,1,1,1,2,b,1,0,0,CO,0,1
1,1,1,0,1,2,1,y,0,1,0,CO,0,1
0,1,1,1,2,1,2,y,0,1,0,CO,0,1
1,1,0,1,2,2,1,b,1,0,0,CO,0,1
0,1,1,0,2,2,1,b,1,0,0,CO,0,1
0,1,0,0,1,2,1,y,0,1,0,CO,0,1
1,1,0,0,2,2,1,b,1,0,0,CO,0,1
0,1,0,1,1,1,2,b,1,0,0,CO,0,1
1,1,1,0,1,2,1,y,0,1,0,CO,0,1
0,1,0,1,1,2,1,y,0,1,0,CO,0,1
1,1,0,0,2,2,1,b,1,0,0,CO,0,1
1,1,0,0,2,1,2,y,0,1,0,CO,0,1
1,1,1,1,1,1,2,b,1,0,0,CO,0,1
0,1,0,1,1,1,2,b,1,0,0,CO,0,1
0,1,0,0,1,2,1,y,0,1,0,CO,0,1
0,1,0,1,1,2,1,y,0,1,0,CO,0,1
0,1,1,1,2,1,2,y,0,1,0,CO,0,1
1,1,0,0,2,1,2,y,0,1,0,CO,0,1
1,1,1,1,1,1,2,b,1,0,0,CO,0,1
1,1,0,0,2,1,2,y,0,1,0,CO,0,1
1,1,1,1,1,2,1,y,0,1,0,CO,0,1
1,1,1,0,1,1,2,b,1,0,0,CO,0,1
1,1,0,0,2,2,1,b,1,0,0,CO,0,1
0,1,0,0,1,2,1,y,0,1,0,CO,0,1
0,1,0,0,1,2,1,y,0,1,0,CO,0,1
1,1,0,1,2,2,1,b,1,0,0,CO,0,1
0,1,0,1,1,2,1,y,0,1,0,CO,0,1
0,1,0,1,1,2,1,y,0,1,0,CO,0,1
1,1,1,0,1,1,2,b,1,0,0,CO,0,1
1,1,0,0,3,3,4,b,1,0,0,CO,2,2
1,1,0,0,3,3,4,b,1,0,0,CO,2,2
0,1,1,0,3,3,4,b,1,0,0,CO,2,2
1,1,1,0,3,4,3,y,0,1,0,CO,2,2
0,1,1,0,3,3,4,b,1,0,0,CO,2,2
0,1,1,1,3,3,4,b,1,0,0,CO,2,2
0,1,0,1,3,3,4,b,1,0,0,CO,2,2
1,1,0,1,3,4,3,y,0,1,0,CO,2,2
0,1,1,1,3,4,3,y,0,1,0,CO,2,2
1,1,1,1,3,3,4,b,1,0,0,CO,2,2
0,1,0,0,3,3,4,b,1,0,0,CO,2,2
0,1,0,0,3,4,3,y,0,1,0,CO,2,2
1,1,0,0,3,4,3,y,0,1,0,CO,2,2
0,1,0,1,3,4,3,y,0,1,0,CO,2,2
0,1,0,1,3,4,3,y,0,1,0,CO,2,2
0,1,1,1,3,3,4,b,1,0,0,CO,2,2
0,1,0,0,3,4,3,y,0,1,0,CO,2,2
1,1,1,1,3,4,3,y,0,1,0,CO,2,2
0,1,1,0,3,3,4,b,1,0,0,CO,2,2
1,1,1,0,3,4,3,y,0,1,0,CO,2,2
0,1,0,1,3,4,3,y,0,1,0,CO,2,2
1,1,1,0,3,3,4,b,1,0,0,CO,2,2
1,1,0,1,3,3,4,b,1,0,0,CO,2,2
1,1,0,1,3,4,3,y,0,1,0,CO,2,2
0,1,0,1,3,3,4,b,1,0,0,CO,2,2
0,1,1,0,3,4,3,y,0,1,0,CO,2,2
1,1,1,0,3,4,3,y,0,1,0,CO,2,2
1,1,1,0,3,3,4,b,1,0,0,CO,2,2
1,1,0,1,3,3,4,b,1,0,0,CO,2,2
1,1,0,0,3,4,3,y,0,1,0,CO,2,2
0,1,1,0,3,4,3,y,0,1,0,CO,2,2
1,1,0,1,3,3,4,b,1,0,0,CO,2,2
0,1,0,0,3,3,4,b,1,0,0,CO,2,2
